sim,method,1,2,3
51,FastICA,0.17374551779886396,0.19832143039928937,0.6279330518018467
51,Chol-min,0.020318116988499738,0.04434700582073658,0.10855557218023884
51,Chol-max,0.4692103910831849,0.5504058664907213,0.8682000706141385
52,OT-ICA,0.10654031061788469,0.2399372446105958,0.6535224447715196
52,FastICA,0.10471658481884362,0.23639411907194266,0.6588892961092137
52,Chol-min,0.004931960971137741,0.06837022068976727,0.11755863133033154
52,Chol-max,0.4064045175882412,0.6152125213463097,0.8698583568108624
53,OT-ICA,0.10850912677641815,0.2639042615462892,0.6275866116772926
53,FastICA,0.11228883568056065,0.2680747714035682,0.619636392915871
53,Chol-min,0.01183249317108375,0.09805987599924107,0.06860714393547991
53,Chol-max,0.40598120617066,0.6333991649022364,0.8074096891075012
54,OT-ICA,0.13149522373320624,0.22672908439921352,0.6417756918675802
54,FastICA,0.13378051915488412,0.22389521959551603,0.6423242612495998
54,Chol-min,0.011328341873022233,0.06615025784148174,0.10275420880566292
54,Chol-max,0.4269866835379917,0.5958928268212579,0.8554591425838143
55,OT-ICA,0.10992864569771761,0.21930820026321887,0.6707631540390635
55,FastICA,0.11341154889556891,0.21725178243074403,0.6693366686736871
55,Chol-min,0.012251294257585877,0.0550504831723461,0.11729782924833354
55,Chol-max,0.4286333050790138,0.5733970078583009,0.8725399283895804
56,OT-ICA,0.11806071825351298,0.3142466029499762,0.5676926787965109
56,FastICA,0.12340432622676566,0.3209350515231893,0.5556606222500451
56,Chol-min,0.006059343615595929,0.12340022206572564,0.06357597207986328
56,Chol-max,0.38888781293321867,0.6757255133913016,0.7857397889175612
57,OT-ICA,0.17117429539344142,0.33956614771499616,0.4892595568915624
57,FastICA,0.16200797617321241,0.3162191347394943,0.5217728890872932
57,Chol-min,0.009270313056305964,0.11825093245105675,0.048124922870269884
57,Chol-max,0.41685287809704324,0.672591898127665,0.7733508863683348
58,OT-ICA,0.0864770760509272,0.23528849873454108,0.6782344252145317
58,FastICA,0.08940820636136818,0.22396878217874364,0.6866230114598882
58,Chol-min,0.005002876257910978,0.07575326125899934,0.11215390167263067
58,Chol-max,0.38775715230425817,0.6323564874247238,0.8604322914590247
59,OT-ICA,0.11126765759470197,0.2668730146806122,0.6218593277246859
59,FastICA,0.10963082422441638,0.2588835497444204,0.6314856260311632
59,Chol-min,0.008563909045021613,0.05557111482098452,0.12323147267092996
59,Chol-max,0.423847937254139,0.6002078716483698,0.8769036694600753
60,OT-ICA,0.1405772789498594,0.26332312132253055,0.59609959972761
60,FastICA,0.1270952616533169,0.2540978412154346,0.6188068971312485
60,Chol-min,0.012105494014623708,0.06762840595122273,0.09351062721345484
60,Chol-max,0.45804829641278444,0.5893676949532336,0.846408131911144
61,OT-ICA,0.13184734239309306,0.2380458265453307,0.6301068310615762
61,FastICA,0.11996695266131265,0.24868022475854162,0.6313528225801457
61,Chol-min,0.010308186140479035,0.06984201818724088,0.10068353964799097
61,Chol-max,0.4155358429861763,0.6090546453734186,0.8526061079758004
62,OT-ICA,0.1027283689953992,0.22343114739642148,0.6738404836081793
62,FastICA,0.1107630666864325,0.22190174900154422,0.6673351843120233
62,Chol-min,0.007459731303215817,0.07196754800570455,0.10002598430494616
62,Chol-max,0.4262951376406881,0.6174297898676626,0.8532390046165717
63,OT-ICA,0.10342011988572211,0.16676329233449333,0.7298165877797845
63,FastICA,0.10018984087821375,0.17083846273100925,0.728971696390777
63,Chol-min,0.005898789249929536,0.04848291480012713,0.14230581513461266
63,Chol-max,0.42400510151497595,0.5675475207727282,0.8984765393522725
64,OT-ICA,0.09223703932657569,0.24626249455407892,0.6615004661193453
64,FastICA,0.08615231121561474,0.2392027365769887,0.6746449522073965
64,Chol-min,0.004975046526419306,0.07922937343914202,0.09861647189132748
64,Chol-max,0.41435896011157,0.6234368611282023,0.8518812775052976
65,OT-ICA,0.1161574960310948,0.2222130348140062,0.6616294691548991
65,FastICA,0.1135996187356076,0.20591613479780055,0.6804842464665919
65,Chol-min,0.006472646435084206,0.05353495948729182,0.1266892357425168
65,Chol-max,0.41393091562802936,0.5724784201334018,0.8903728233210584
66,OT-ICA,0.14247484392792517,0.245404857948047,0.6121202981240278
66,FastICA,0.13151441828955135,0.24268935737726968,0.6257962243331789
66,Chol-min,0.017824430331223298,0.08202632548417872,0.06551087377205182
66,Chol-max,0.43045792020626067,0.6250252109779036,0.8107347240207071
67,OT-ICA,0.09930372945236762,0.2931221442786046,0.6075741262690277
67,FastICA,0.09484331712159658,0.29821636378818406,0.6069403190902194
67,Chol-min,0.009631435416657818,0.07462788516978985,0.0984811586634223
67,Chol-max,0.40034678557541425,0.615428048497869,0.8495782681099627
68,OT-ICA,0.12296653472735494,0.2163077577563058,0.6607257075163393
68,FastICA,0.12482840457011193,0.21236980077129014,0.662801794658598
68,Chol-min,0.01584131793165805,0.07135784316019893,0.08901130866051077
68,Chol-max,0.429547007142923,0.599546575737575,0.8370383178397909
69,OT-ICA,0.14294445264205305,0.22579639066363869,0.6312591566943083
69,FastICA,0.1491915612092469,0.23263217310945286,0.6181762656813002
69,Chol-min,0.020642001643745647,0.06414709068680507,0.07140221266178823
69,Chol-max,0.4653396345696711,0.5817582951837282,0.8308531321451874
